image,mask_pixels,skeleton_pixels,D_min_px,D_ref_px,stenosis_percent
14_015_1_0054_bmp.rf.83b6601a1b839d27288d8500148b1ee6_mask.png,912,190,4.472,5.657,20.94
14_015_1_0062_bmp.rf.0cdef8ca6f25bdd3996dd32405ef4350_mask.png,761,165,4.472,5.657,20.94
14_016_1_0006_bmp.rf.349d0512f4ec8c9a21948d019e6eee7b_mask.png,1260,166,4.472,8.197,45.44
14_016_1_0021_bmp.rf.c4990fe880f7ad9c1855041540113569_mask.png,902,114,4.472,8.437,47.0
14_016_1_0027_bmp.rf.a766a9a98924cef5559d82e180f76c56_mask.png,1473,184,5.657,8.246,31.4
14_016_1_0029_bmp.rf.90ca5ccf428355bdab2682e0b761ca90_mask.png,1368,204,4.472,8.246,45.77
14_016_1_0036_bmp.rf.0cbf4615e6554b1bb8ba767fa9de8f9c_mask.png,1571,254,4.472,8.246,45.77
14_016_1_0050_bmp.rf.c15c8c563d6ad2cfa1feee6505a3fc73_mask.png,522,78,5.657,7.507,24.65
14_016_1_0051_bmp.rf.6be234f7bbe3e3c1f998498c898641e1_mask.png,572,80,5.657,7.477,24.35
14_016_1_0053_bmp.rf.67c31f6985198b7f8048110895aae8cc_mask.png,705,98,4.472,7.128,37.26
14_016_1_0055_bmp.rf.42752b740854fde72c3b4216f82f8097_mask.png,1020,136,4.472,8.485,47.3
14_016_1_0067_bmp.rf.fc3747b74d43f1bf786d8ac30afd5c25_mask.png,408,70,4.472,6.152,27.3
14_017_1_0024_bmp.rf.ccfc655dfcaf32ff52dfaadd6ee6f1fd_mask.png,703,127,4.472,6.292,28.92
14_017_1_0028_bmp.rf.302cf719be7e1bbb40ea2717e2dd10d8_mask.png,647,98,5.657,7.211,21.55
14_017_1_0034_bmp.rf.0c78213a65295ec1121fa5e9e59747ac_mask.png,319,48,4.472,6.26,28.56
14_017_1_0050_bmp.rf.381ae44b726f6e3edff9ef421d2a5c53_mask.png,352,79,4.472,4.472,0.0
14_017_1_0055_bmp.rf.cfcb6f54a6b2e71197cea0d05faf3bcc_mask.png,205,51,4.0,4.0,0.0
14_018_6_0022_bmp.rf.73d490ec9b92bdc401d50eacc07b175a_mask.png,1201,382,4.472,5.657,20.94
14_018_6_0026_bmp.rf.d254a5af15741ed3b91962895f06f9a1_mask.png,1693,305,4.472,8.0,44.1
14_018_6_0027_bmp.rf.68c79bc7f7eb98528c925fc92f1a6f63_mask.png,1618,287,4.472,10.02,55.37
14_018_6_0028_bmp.rf.5240b8dd752b5e354dbcd0d1c2fb518c_mask.png,1089,207,4.472,8.0,44.1
14_018_6_0031_bmp.rf.df3610cfceed775f1388257911394055_mask.png,1239,203,4.472,7.211,37.98
14_018_6_0037_bmp.rf.60a16abdc8df74a7fb695867ccb3503e_mask.png,608,99,4.472,6.325,29.29
14_018_6_0050_bmp.rf.19a767d3430a5a1411d3bf438310ebed_mask.png,853,143,4.472,9.111,50.92
14_018_6_0052_bmp.rf.30c7ba521c499ccfe369283c36d21ee2_mask.png,780,110,4.472,8.123,44.95
14_018_6_0054_bmp.rf.f9021c3770f2aa31e983177f04e8cdc9_mask.png,1120,166,4.472,8.0,44.1
14_018_6_0056_bmp.rf.4ea835325a75c84c937ab13204ee0b47_mask.png,1128,190,4.472,7.211,37.98
14_018_8_0021_bmp.rf.c02ec9d57a50c365de244aa6f51c6067_mask.png,1829,286,4.472,8.807,49.22
14_018_8_0029_bmp.rf.f0c409b1f26bf9d03fdae6d89e71be4a_mask.png,375,84,4.472,6.703,33.28
14_018_8_0040_bmp.rf.30183ba9ca7255f4970695d07379f1a6_mask.png,574,92,4.472,6.945,35.61
14_018_8_0044_bmp.rf.9ddc610260812dc51b5ab9e0d085e90e_mask.png,983,180,4.472,6.945,35.61
14_019_5_0028_bmp.rf.b29dbd7175ddd280f8fbcd3ed93e85a1_mask.png,2242,240,4.472,12.806,65.08
14_019_5_0033_bmp.rf.ba20ccf97103f66a060525a5873d7df9_mask.png,2728,358,4.472,12.0,62.73
14_019_5_0046_bmp.rf.28ac6fa8e70214906e7456c1948ac64b_mask.png,757,100,4.472,8.293,46.08
14_019_5_0057_bmp.rf.d213e81efbab6c00b83fee416417f11e_mask.png,1367,225,4.472,8.0,44.1
14_019_5_0079_bmp.rf.b65ca6061ae8520ec5c91e42eda15a5f_mask.png,948,110,4.472,11.22,60.14
14_019_5_0081_bmp.rf.b0806c5cd1e2aac22a3aee94ac3ae31b_mask.png,718,110,4.472,8.222,45.6
14_019_5_0097_bmp.rf.1e9712a6b574280c34cc85d3910090d7_mask.png,1475,304,4.472,5.657,20.94
14_021_15_0030_bmp.rf.f540f83dbf260784401a96912dc9cce1_mask.png,385,58,4.472,6.34,29.46
14_021_15_0034_bmp.rf.65fa826a8f5b4b7c54a2e16e6b7f5f2d_mask.png,715,118,4.472,6.26,28.56
14_021_15_0035_bmp.rf.f7bc724c4312e84cc13a3ff5e0c1aa71_mask.png,1654,303,4.472,8.0,44.1
14_021_15_0036_bmp.rf.aeec5e9c73d03348f6e06691b346ddf0_mask.png,1306,199,4.472,8.549,47.69
14_021_15_0042_bmp.rf.06f11673dc0ae5442b6b4263c2bb3840_mask.png,1445,188,4.472,8.944,50.0
14_021_15_0043_bmp.rf.70b0b30e9311d7533247910264b205ab_mask.png,660,113,4.0,6.582,39.23
14_021_15_0045_bmp.rf.53128816d881d0709b9080263baa013f_mask.png,804,137,4.472,8.123,44.95
14_021_15_0051_bmp.rf.eef1cbfa608d0fdcbb1fc33e1398a3e3_mask.png,666,111,4.472,6.945,35.61
14_021_15_0054_bmp.rf.78433ccb3ec366b23379b47d7dee5d87_mask.png,999,163,4.472,8.621,48.13
14_021_15_0055_bmp.rf.bb965cf130f5b3e05c22ac9b0ece5531_mask.png,1110,207,4.472,7.122,37.21
14_021_15_0060_bmp.rf.2cb9cba5a0cb3d19a4d2997416304349_mask.png,848,134,4.472,6.768,33.92
14_021_16_0024_bmp.rf.11b2bc385f7930279cdd8d597edb28b8_mask.png,618,87,4.472,10.789,58.55
14_021_16_0025_bmp.rf.c23db114551a8fe675b4884e72121177_mask.png,1397,211,4.472,8.737,48.81
14_021_16_0027_bmp.rf.76021750aaeecb23c68dfc3c459c9e2f_mask.png,1050,170,4.472,8.478,47.25
14_021_16_0035_bmp.rf.2a1356e3eafe919a590a5a0d9110fcd2_mask.png,1037,166,4.472,10.02,55.37
14_021_16_0041_bmp.rf.8f4e256a08090fa56a52fb685038da46_mask.png,665,138,4.472,5.657,20.94
14_021_16_0043_bmp.rf.e731fa6d210b644ec2c8dbb7ca474e9c_mask.png,903,154,4.472,8.691,48.54
14_021_16_0055_bmp.rf.526a1787965bb6838410345a3ce756ef_mask.png,1660,272,4.472,8.366,46.54
14_021_16_0069_bmp.rf.7cf5d3ab2347a6f4a543dea045e17fa9_mask.png,1372,215,4.472,10.04,55.46
14_021_16_0074_bmp.rf.9d1b3566aec7f0c788a04dcbd55c2403_mask.png,1603,252,4.472,8.807,49.22
14_021_16_0080_bmp.rf.4d4a8767dece34715be4cdb0f9a3d7c5_mask.png,747,116,4.472,8.262,45.87
14_021_1_0032_bmp.rf.b251a5a5756f700c64d800823ce5584d_mask.png,751,128,4.472,6.722,33.47
14_021_1_0034_bmp.rf.5fe23eac7ed4de76c64724b5710eec78_mask.png,879,156,4.472,7.327,38.96
14_021_1_0060_bmp.rf.1d07b78ea2f453200cfc3c56d12c1dbf_mask.png,727,152,4.472,4.472,0.0
14_021_1_0066_bmp.rf.955c7483caf5d9ffcb7f39c94b103307_mask.png,598,81,4.472,10.194,56.13
14_021_1_0069_bmp.rf.10b8ca47cebe7261655e980fcee00488_mask.png,326,69,4.472,5.301,15.64
14_021_1_0080_bmp.rf.195f6267f5bb9ad2bb336e517443d96a_mask.png,390,81,4.472,5.183,13.71
14_021_1_0090_bmp.rf.d7473c9da76c929783ed3e6be192ed2f_mask.png,703,131,4.472,5.657,20.94
14_021_1_0093_bmp.rf.c694c5ccdd106e9718a72ac7f8579880_mask.png,363,90,4.0,4.0,0.0
14_021_29_0011_bmp.rf.983e90365e9edad03ca9392f94548923_mask.png,428,92,4.472,5.863,23.72
14_021_29_0027_bmp.rf.e5c7fb5d671ac6f13919726bafc84881_mask.png,421,93,4.472,6.227,28.18
14_021_29_0028_bmp.rf.59ccc1df867cbfad3074574cc7fdbe22_mask.png,533,61,4.472,10.614,57.87
14_021_29_0034_bmp.rf.a266915f79a652a87dcda513eb2a2756_mask.png,540,70,4.472,8.289,46.05
14_021_2_0021_bmp.rf.c21f86144199a25cc7dc858b0255a1c7_mask.png,2348,377,4.472,8.246,45.77
14_021_2_0022_bmp.rf.42d897404a31f2b4fc4a7b286b98450b_mask.png,1487,205,4.472,8.944,50.0
14_021_2_0030_bmp.rf.96994074da83d6dcf542eae461d4f0d1_mask.png,1088,209,4.472,8.783,49.08
14_021_30_0010_bmp.rf.c3b350fc41f4828145e4a78ae02eeb73_mask.png,227,41,4.472,5.657,20.94
14_021_30_0019_bmp.rf.fc81fa50ab69f46156eee3e69cd73dd7_mask.png,248,48,4.472,5.42,17.49
14_021_30_0030_bmp.rf.42d6df2703ca5f71c8a6bbe5eb5f02c4_mask.png,210,49,4.472,5.591,20.02
14_021_32_0024_bmp.rf.22d26872752e0cd5ed3f6c1a50251f1e_mask.png,395,54,4.472,8.144,45.08
14_021_32_0025_bmp.rf.95f0d3e154f0ccd0e994e8e07d4fbd11_mask.png,510,82,4.472,6.856,34.78
14_021_34_0016_bmp.rf.d502d4d0b3c9a4c7622a7797c3fd67d3_mask.png,228,44,4.472,6.372,29.82
14_021_35_0018_bmp.rf.f37b5504c8e8fae25b9f72e68cbb8e47_mask.png,327,72,4.472,5.064,11.7
14_021_35_0019_bmp.rf.38861cbf22e82fb5d2ecf11182889ba9_mask.png,221,51,4.0,4.852,17.55
14_021_37_0025_bmp.rf.443f26d00e1f1ec98044aa91be630002_mask.png,329,62,4.472,7.073,36.77
14_021_37_0028_bmp.rf.5873652275815b670cc5140911fa3403_mask.png,406,69,4.472,9.189,51.33
14_021_37_0036_bmp.rf.26cd02081902502985b4c2e0397e2a08_mask.png,548,112,4.472,5.538,19.25
14_021_37_0049_bmp.rf.4c8725dcd85229661785ab360d1ec2e4_mask.png,220,48,4.472,5.747,22.18
14_021_38_0015_bmp.rf.a1f4cb491996447437ba0632f2a16786_mask.png,352,72,4.472,4.828,7.36
14_021_38_0034_bmp.rf.e746aa2516c61ebf7997ef0bd54be1bd_mask.png,379,84,4.0,4.828,17.14
14_021_4_0030_bmp.rf.af49272cf0111a75a4fd95a200a64864_mask.png,645,98,4.472,8.196,45.44
14_021_4_0036_bmp.rf.49dc2daf75437ab506de2f718fd4dbc3_mask.png,450,62,5.657,8.0,29.29
14_021_4_0043_bmp.rf.dd36b6a3341aa5ded57d03e248473bc2_mask.png,529,63,6.0,8.171,26.57
14_021_4_0044_bmp.rf.cb43863f4146144dc263cc556051e1b8_mask.png,508,65,4.472,8.122,44.94
14_021_4_0050_bmp.rf.e8bcdfe2547a7305cf2437b906ff2a2f_mask.png,643,94,4.472,8.0,44.1
14_021_4_0051_bmp.rf.404bf132d9b375f85039078b3743ed9f_mask.png,680,109,4.472,7.211,37.98
14_021_4_0062_bmp.rf.05ac40b412800bc8ece06643b48a5ab4_mask.png,875,154,4.472,7.211,37.98
14_021_5_0062_bmp.rf.c985a1c2c7f18b72d36bc185bd7f7b81_mask.png,916,168,4.472,6.195,27.81
14_021_5_0066_bmp.rf.5df9b5ccb6ad92dda9cd8a91bf427cc8_mask.png,1032,158,4.472,8.48,47.26
14_021_5_0073_bmp.rf.83bba02c4d2eb75cb9696812e3105244_mask.png,1024,168,4.472,8.098,44.78
14_021_6_0018_bmp.rf.9e8db9c0882f9cf6bb05c31af6922ebb_mask.png,971,186,4.472,6.0,25.46
14_021_6_0020_bmp.rf.871f96c6338b55bc1f4ffbcf1773a761_mask.png,983,167,4.472,7.211,37.98
14_021_6_0029_bmp.rf.c4607eedcedeb32b67639d7f8e99578b_mask.png,1407,247,4.472,7.211,37.98
14_021_6_0046_bmp.rf.2496ca24e70789cc287bbf94b1c433a2_mask.png,3042,520,4.472,7.211,37.98
